Ultimaker Version,Layer,Fan on/off,Fan speed (min),Fan speed (max),Fan speed (avg),Temperature (min),Temperature (max),Temperature (avg),Feedrate (min),Feedrate (max),Feedrate (avg),Layer height,modified
2,114,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5285.574647887324,17.55,0
2,115,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5268.474418604651,17.7,0
2,116,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5286.580281690143,17.85,0
2,117,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5269.812093023254,18,0
2,118,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5268.035071090047,18.15,0
2,119,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5284.927272727272,18.3,0
2,120,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5283.084390243903,18.45,0
2,121,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5283.574634146341,18.6,0
2,122,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5285.2338164251205,18.75,0
2,123,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5267.175845410626,18.9,0
2,124,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5226.923113207545,19.05,0
2,125,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5267.042995169081,19.2,0
2,126,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5285.410628019324,19.35,0
2,127,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5236.286854460092,19.5,0
2,128,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5244.948113207546,19.65,0
2,129,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5252.33732057416,19.8,0
2,130,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5254.229383886255,19.95,0
2,131,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5244.323809523808,20.1,0
2,132,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5267.4951690821235,20.25,0
2,133,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5235.40568720379,20.4,0
2,134,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5245.347641509435,20.55,0
2,135,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5252.290909090907,20.7,0
2,136,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5252.834449760765,20.85,0
2,137,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5261.153846153845,21,0
2,138,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5267.898550724638,21.15,0
2,139,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5284.292682926831,21.3,0
2,140,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5284.565853658535,21.45,0
2,141,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5284.839024390241,21.6,0
2,142,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5235.40568720379,21.75,0
2,143,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5245.479716981131,21.9,0
2,144,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5284.47219512195,22.05,0
2,145,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5283.483902439024,22.2,0
2,146,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5283.215609756097,22.35,0
2,147,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5283.346829268292,22.5,0
2,148,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5285.711961722487,22.65,0
2,149,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5285.802870813396,22.8,0
2,150,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5287.432863849766,22.95,0
2,151,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5286.414084507043,23.1,0
2,152,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5285.533802816901,23.25,0
2,153,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5283.384688995216,23.4,0
2,154,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5284.613270142179,23.55,0
2,155,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5282.257971014494,23.7,0
2,156,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5279.45960591133,23.85,0
2,157,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5278.386206896551,24,0
2,158,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5277.208866995074,24.15,0
2,159,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5276.828571428572,24.3,0
2,160,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5276.828571428572,24.45,0
2,161,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5279.13043478261,24.6,0
2,162,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5280.944075829385,24.75,0
2,163,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5279.878672985781,24.9,0
2,164,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5280.97395348837,25.05,0
2,165,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5281.183410138249,25.2,0
2,166,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5281.183410138249,25.35,0
2,167,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5281.147926267282,25.5,0
2,168,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5280.526267281107,25.65,0
2,169,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5279.268202764977,25.8,0
